2024-02-01 20:02:368 INFO  HomePage :61 - Clicking on theLive Casino : [[[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (7d44e17450c9f779d647255c42241ec9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:615 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:239 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:344 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (cbd65d73e0a98e983dc8c9bb12397fb3)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:345 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (cbd65d73e0a98e983dc8c9bb12397fb3)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:837 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:380 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:496 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:498 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:808 INFO  HomePage :61 - Clicking on theSlingo : [[[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (db21d57720239e015e59feedb228087d)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
